"","id","minute","result","X","Y","xG","player","h_a","player_id","situation","season","shotType","match_id","h_team","a_team","h_goals","a_goals","date","player_assisted","lastAction"
"1",310360,2,"SavedShot",0.783000030517578,0.542999992370605,0.0327525027096272,"Thiago Alcántara","h",229,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Serge Gnabry","Pass"
"2",310361,6,"MissedShots",0.815,0.430999984741211,0.0584453642368317,"Thomas Müller","h",224,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Serge Gnabry","Pass"
"3",310364,16,"SavedShot",0.936999969482422,0.394000015258789,0.0192932449281216,"Thomas Müller","h",224,"SetPiece",2019,"Head",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"David Alaba","Aerial"
"4",310365,23,"Goal",0.935999984741211,0.505,0.593660593032837,"Robert Lewandowski","h",227,"OpenPlay",2019,"LeftFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Serge Gnabry","Pass"
"5",310366,24,"SavedShot",0.909000015258789,0.287000007629395,0.0518977269530296,"Serge Gnabry","h",993,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Corentin Tolisso","Pass"
"6",310367,24,"BlockedShot",0.861999969482422,0.417999992370605,0.100943610072136,"Robert Lewandowski","h",227,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Joshua Kimmich","Pass"
"7",310368,27,"BlockedShot",0.869000015258789,0.332000007629395,0.0742076933383942,"Thomas Müller","h",224,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Kingsley Coman","Pass"
"8",310369,30,"BlockedShot",0.849000015258789,0.324000015258789,0.0765295848250389,"Robert Lewandowski","h",227,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Thomas Müller","Pass"
"9",310372,51,"SavedShot",0.92,0.617000007629395,0.296954482793808,"Kingsley Coman","h",226,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Serge Gnabry","Pass"
"10",310373,55,"SavedShot",0.749000015258789,0.318999996185303,0.0172013118863106,"Serge Gnabry","h",993,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Kingsley Coman","Pass"
"11",310374,59,"Goal",0.885,0.5,0.75777667760849,"Robert Lewandowski","h",227,"Penalty",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,NA,"Standard"
"12",310375,70,"BlockedShot",0.791999969482422,0.427000007629395,0.0364076271653175,"Serge Gnabry","h",993,"OpenPlay",2019,"LeftFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,NA,"None"
"13",310376,71,"MissedShots",0.88,0.397999992370605,0.0989687591791153,"Corentin Tolisso","h",3603,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Serge Gnabry","Pass"
"14",310379,78,"BlockedShot",0.961999969482422,0.394000015258789,0.0861031115055084,"Corentin Tolisso","h",3603,"FromCorner",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"David Alaba","HeadPass"
"15",310380,82,"BlockedShot",0.754000015258789,0.415,0.0667429491877556,"David Alaba","h",391,"DirectFreekick",2019,"LeftFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,NA,"Standard"
"16",310381,84,"MissedShots",0.905,0.266000003814697,0.0321641825139523,"Serge Gnabry","h",993,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Corentin Tolisso","Chipped"
"17",310382,92,"MissedShots",0.95,0.46,0.0770207867026329,"Robert Lewandowski","h",227,"FromCorner",2019,"Head",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Joshua Kimmich","Aerial"
"18",310362,8,"SavedShot",0.805,0.615,0.0344041511416435,"Vedad Ibisevic","a",29,"OpenPlay",2019,"RightFoot",12403,"Bayern Munich","Hertha Berlin",2,2,2019-08-16 19:30:00,"Marko Grujic","Pass"
